Time,Right,Left
-0.5011152,NaN,0
-0.50109504,0,0
-0.5010736,1.99993896484375,NaN
-0.50105328,1.999908447265625,NaN
-0.50103184,0,NaN
-0.50101088,0,1.9998779296875
-0.50099008,0,NaN
-0.50096912,0,1.999969482421875
-0.50094832,0,1.999969482421875
-0.50092688,NaN,1.999969482421875
-0.50090656,0,1.999969482421875
-0.50088576,0,NaN
-0.5008648,0,0
-0.500844,0,0
-0.50082304,0,0.000030517578125
-0.50080224,NaN,0
-0.50077504,NaN,0
-0.50075488,1.99993896484375,0
-0.50073344,NaN,0
-0.50071312,1.9998779296875,0
-0.50069232,1.999908447265625,NaN
-0.50067136,1.999908447265625,0
-0.50065056,1.99993896484375,0
-0.50062896,NaN,0
-0.5006088,1.99993896484375,0
-0.500588,1.99993896484375,NaN
-0.50056704,1.99993896484375,0
-0.50054624,1.99993896484375,0
-0.50052464,NaN,0
-0.50050448,1.99993896484375,0
-0.50048368,1.9998779296875,NaN
-0.50046272,1.999908447265625,0
-0.50044192,0.000030517578125,0
-0.50042048,0.00018310546875,NaN
-0.50038928,1.999969482421875,0
-0.50036848,1.99993896484375,0
-0.50034688,NaN,0
-0.50032672,1.99993896484375,0
-0.50030592,NaN,0.000091552734375
-0.50028528,0,NaN
-0.50026432,0,0.0001220703125
-0.50024352,0,0.000030517578125
-0.50022192,NaN,0
-0.50019024,NaN,0.000091552734375
-0.50017008,0,0.0001220703125
-0.50014928,0,NaN
-0.50012832,0,0.000152587890625
-0.50010752,0,NaN
-0.50008656,0,0.000152587890625
-0.50006576,0,NaN
-0.50004416,0.000030517578125,0
-0.50002336,1.999969482421875,0
-0.5000024,1.9998779296875,0
-0.4999816,1.9998779296875,0
-0.49996016,1.99993896484375,NaN
-0.49993888,0,1.99993896484375
-0.49991808,NaN,0
-0.49989696,1.999969482421875,0
-0.49987552,NaN,0
-0.4998552,0.00006103515625,0
-0.4998344,0.00006103515625,0
-0.49981344,0.000091552734375,NaN
-0.49979072,0,0
-0.49976992,0,NaN
-0.49974896,0,NaN
-0.49972816,0,0
-0.49969712,NaN,0
-0.49966704,1.999664306640625,0
-0.49964544,NaN,0
-0.49962528,NaN,1.999969482421875
-0.49960528,0,1.999969482421875
-0.49958384,NaN,1.999969482421875
-0.49956352,0,1.99993896484375
-0.49954272,0,NaN
-0.49952176,0,NaN
-0.49951072,0,0.0001220703125
-0.49948992,0,0.00006103515625
-0.49946832,NaN,1.999969482421875
-0.49944816,0,1.999969482421875
-0.49942736,NaN,0
-0.49939568,0.000030517578125,0
-0.49937424,NaN,0
-0.49935392,NaN,1.999908447265625
-0.49933248,0,NaN
-0.49931152,0,1.999664306640625
-0.49929072,0,NaN
-0.49926944,0,0
-0.49924784,NaN,0
-0.49922768,1.99993896484375,0
-0.49920688,NaN,1.999969482421875
-0.49918608,0,NaN
-0.49916512,0,0
-0.49914432,0,0
-0.49912288,NaN,0.000030517578125
-0.49910256,0,0.000030517578125
-0.49908176,0,NaN
-0.4990608,0,1.99993896484375
-0.49904,0,1.99993896484375
-0.4990192,0,NaN
-0.49899824,0,1.999969482421875
-0.49897744,0,1.999908447265625
-0.49895584,NaN,1.9998779296875
-0.49893568,0,0
-0.49891488,NaN,1.99993896484375
-0.49889872,0,NaN
-0.49887776,0,1.99993896484375
-0.49885696,0,1.999908447265625
-0.49883536,NaN,1.999969482421875
-0.4988152,0,1.99993896484375
-0.4987944,0,NaN
-0.49877344,0,0
-0.49875264,0,0.000091552734375
-0.49873104,NaN,0.00006103515625
-0.49871088,0,0.00006103515625
-0.49869008,0,NaN
-0.49866912,0,0.00006103515625
-0.49864832,0,0.00006103515625
-0.49862752,0,0
-0.49860656,0,0
-0.49858576,0,1.999969482421875
-0.49856416,NaN,1.99993896484375
-0.498544,NaN,0
-0.49852272,NaN,0
-0.49850256,0.000152587890625,0
-0.49848176,0.000152587890625,NaN
-0.4984608,0.00018310546875,0
